cz_name,stateabbrv,name,mobility,population,density,male,white,black,amind,asian,highschool,college,dropout,manufacturing,income,gini,rentpct,poverty
San Francisco,CA,"Marin County, California",.18599527,258349,496.53311,.48949289,.79318285,.025481036,.0030772327,.05682623,.37110913,.55774474,.012677107,.045564108,67733,.52630001,32.200001,.1026767
Santa Rosa,CA,"Mendocino County, California",-.42904866,87544,24.967331,.50062823,.82829207,.006682354,.045896921,.019384539,.63122177,.23653686,.055968415,.067032129,31217,.47620001,36.599998,.28131527
Modesto,CA,"Merced County, California",-.035122201,263885,136.3766,.50458342,.61174756,.034181558,.0067718895,.075426795,.547961,.13079624,.042955875,.11585733,30840,.45500001,33.599998,.3767612
San Jose,CA,"Monterey County, California",.14156608,428441,130.5985,.51185346,.73306942,.02788482,.0077070124,.060860187,.47596622,.23126085,.047988996,.049026407,42694,.4614,33.299999,.25147519
San Francisco,CA,"Napa County, California",.44291189,140295,187.4696,.49750882,.74068213,.020984353,.0070351758,.077101819,.50765264,.32433105,.023155628,.11809818,51843,.4745,32.400002,.13337916
Sacramento,CA,"Nevada County, California",.0087448899,98570,102.916,.4937405,.92368877,.004879781,.011220452,.01435528,.60218894,.33675608,.026338894,.070865385,41052,.4461,35.299999,.17122318
Los Angeles,CA,"Orange County, California",-.084163308,3116069,3941.5581,.49408406,.6322068,.016628643,.0040037623,.18945087,.46529835,.37738925,.023933051,.13003653,55569,.46700001,33.900002,.17616335
Sacramento,CA,"Placer County, California",.52461076,366280,260.32529,.4879573,.83643931,.014150376,.0054111611,.066801354,.57650423,.36438158,.022860738,.064181879,53709,.43900001,32.299999,.10512675
Los Angeles,CA,"Riverside County, California",-.50458026,2298032,318.88409,.49758968,.64610416,.062651873,.0093710618,.061851185,.59159541,.20927407,.036333885,.090730749,41111,.4454,35.299999,.232839
Sacramento,CA,"Sacramento County, California",-.044779681,1465832,1519.558,.48922181,.59586775,.099574164,.007936107,.15041628,.57835191,.2880491,.029172119,.056032762,40664,.45570001,33.200001,.24952543
